"Source Name","BLAKE3 Hash Digest","SIMD Tier","Threads Used","Execution Time (s)","Throughput (MB/s)","File Size (bytes)","Data Source"
f0159688.jpg,"6ee4d3a4ff3cb5006de37beb1af7e44b51d19e5d0eacdf9b7a57dbd23396b9a4",AVX-512,12,0.000236,56.853,14081,2011-10-19-Sample.E01
f0159664.jpg,"ecf618aa67abcbcdfcbe672feadc69c312a6981d92c93120853046d396fa0f1b",AVX-512,12,0.000242,46.42,11789,2011-10-19-Sample.E01
f0159624.jpg,"27fc9e8b6dfdf492d6268de3219f4da0ed7196164550dd4a01fdbb6a2d6159fa",AVX-512,12,0.000302,52.094,16491,2011-10-19-Sample.E01
f0159592.jpg,"4cbef7db7d1b3e3d4ea06ffb56b6778641a9e6e240b4885a5fa14e48f5a0ceea",AVX-512,12,0.000248,55.062,14313,2011-10-19-Sample.E01
f0159528.jpg,"7a4404a2191d4db116d5c7155d173706bc82aaf0658be99c1e8ac02520f7a563",AVX-512,12,0.000459,33.751,16244,2011-10-19-Sample.E01
f0159560.jpg,"82b764b5f192bb69d230100696cb8a3595697fb8327a55c78011a6d855d535bd",AVX-512,12,0.00029,47.809,14518,2011-10-19-Sample.E01
f0159472.jpg,"e374935dc0f606d0e1c3cdaee5bb32ba633a0d801669da73958be1f998931b3e",AVX-512,12,0.000277,44.601,12964,2011-10-19-Sample.E01
f0159504.jpg,"4de0f6708351fca5c531cb2cf669f19cac73fb8580245b5a0fba31c6773953c8",AVX-512,12,0.000383,28.043,11262,2011-10-19-Sample.E01
f0159440.jpg,"16fb3cc09972742d29ddc66c5acf9cffa29d7803e284aa888a55f1439c65db1c",AVX-512,12,0.000358,37.494,14071,2011-10-19-Sample.E01
f0159400.jpg,"9f6738f15c4f2b13864efcc442db02c2224e4adf47cd92fbe400e8e321eb8989",AVX-512,12,0.000245,65.982,16944,2011-10-19-Sample.E01
f0159336.jpg,"4664918da6b0770e24bebc093f577cdbe3925007c6185b7cdadcbacf5210a149",AVX-512,12,0.000411,36.259,15630,2011-10-19-Sample.E01
f0159368.jpg,"0d0f6e08fb27a1e75cc3c1f8c7c3075102b4f10b3a77a13e5bd7524073959526",AVX-512,12,0.000331,38.095,13230,2011-10-19-Sample.E01
f0159304.jpg,"629b43d530af74fea01cb51170253fc9cf731aa116dba2426fa6cd429e506a52",AVX-512,12,0.000497,29.498,15382,2011-10-19-Sample.E01
f0159280.jpg,"e0badaa914ce7f0e3b7774dcf2a272b0993640c29db6ed517daf8a7df3853043",AVX-512,12,0.000463,19.668,9557,2011-10-19-Sample.E01
f0159208.jpg,"55713175923f8dd437ae9fe8a52c1e6c48b151d8c2f111d29094edf00014b586",AVX-512,12,0.000262,69.737,19188,2011-10-19-Sample.E01
f0159248.jpg,"007f6511c1573cd9b042fc3e22d0cef1c8787ccdad78e024dbd3a3d735dfe0be",AVX-512,12,0.000271,53.001,15050,2011-10-19-Sample.E01
f0159128.jpg,"10465a130360008998e456c95cbc594592af844b8992c9ad732a558dbc442efd",AVX-512,12,0.000547,29.107,16686,2011-10-19-Sample.E01
f0159168.jpg,"690a9d18d007463d09242895830aca373806a67fef4a4338d2e0234754ccd2a8",AVX-512,12,0.000223,75.032,17537,2011-10-19-Sample.E01
f0159088.jpg,"4ba01858d65094a849abcbdbf69364e75ecff784306202600f23ddb62a2de9ae",AVX-512,12,0.000263,71.102,19623,2011-10-19-Sample.E01
f0159048.jpg,"42883bf3d15de7fe9da23def3f2f7799d42f4143192483b66ae3bb4d981f9c2d",AVX-512,12,0.000219,85.77,19696,2011-10-19-Sample.E01
f0159008.jpg,"325d58464be7a86926cf2191c39b841cdc97781c0cd280626c424ce5eff71ec3",AVX-512,12,0.000851,21.369,19059,2011-10-19-Sample.E01
f0158960.jpg,"4ebe53b20e2b3030e99e011e2c8da874d2b661b2aebe3ef068e664bc2b0ba2c1",AVX-512,12,0.000252,84.3,22249,2011-10-19-Sample.E01
f0158912.jpg,"ba69a334a63a7e8f4e4f3c792d3925885ec3ac777addc1b9d233a12cd3de38cc",AVX-512,12,0.000255,86.781,23204,2011-10-19-Sample.E01
f0158856.jpg,"6cf1f2aff6d0448a405b046300e11074f2531b3d48060eda29185cc4b8a042b9",AVX-512,12,0.000235,102.462,25302,2011-10-19-Sample.E01
f0158800.jpg,"025a280a77b3a14565cff3036cd1bbe56f841efd89420c22fb91e03da4bc7021",AVX-512,12,0.002051,11.475,24679,2011-10-19-Sample.E01
